INFO: 2023-09-14 09:49:35,080 | FILE: main.py:77 | MESSAGE: Order created with 125 on XLM at 2023-09-14 09:49:35.080571
INFO: 2023-09-14 09:49:35,080 | FILE: main.py:81 | MESSAGE: DCA complete, bought ['BTC', 'ETH', 'DOT', 'SOL', 'XLM']. Waiting 7 days.
ERROR: 2023-09-14 09:49:37,994 | FILE: email_service.py:25 | MESSAGE: (535, b'5.7.8 Username and Password not accepted. Learn more at\n5.7.8  https://support.google.com/mail/?p=BadCredentials p10-20020a170902eaca00b001c0774d9327sm436166pld.91 - gsmtp')
INFO: 2023-09-14 10:03:14,999 | FILE: main.py:100 | MESSAGE: working...
INFO: 2023-09-14 10:03:15,914 | FILE: main.py:67 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 10:03:15,914 | FILE: main.py:81 | MESSAGE: Order created with 0 on BTC at 2023-09-14 10:03:15.914013
INFO: 2023-09-14 10:03:16,563 | FILE: main.py:67 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 10:03:16,563 | FILE: main.py:81 | MESSAGE: Order created with 0 on ETH at 2023-09-14 10:03:16.563573
INFO: 2023-09-14 10:03:18,002 | FILE: main.py:67 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 10:03:18,002 | FILE: main.py:81 | MESSAGE: Order created with 3 on DOT at 2023-09-14 10:03:18.002626
INFO: 2023-09-14 10:03:19,088 | FILE: main.py:67 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 10:03:19,088 | FILE: main.py:81 | MESSAGE: Order created with 0 on SOL at 2023-09-14 10:03:19.088285
INFO: 2023-09-14 10:03:20,520 | FILE: main.py:67 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 10:03:20,520 | FILE: main.py:81 | MESSAGE: Order created with 125 on XLM at 2023-09-14 10:03:20.520954
INFO: 2023-09-14 10:03:20,538 | FILE: main.py:85 | MESSAGE: DCA complete, bought ['BTC', 'ETH', 'DOT', 'SOL', 'XLM']. Waiting 7 days.
ERROR: 2023-09-14 10:03:23,477 | FILE: email_service.py:25 | MESSAGE: (535, b'5.7.8 Username and Password not accepted. Learn more at\n5.7.8  https://support.google.com/mail/?p=BadCredentials z16-20020a170903019000b001ab2b4105ddsm455451plg.60 - gsmtp')
INFO: 2023-09-14 10:09:39,839 | FILE: main.py:106 | MESSAGE: working...
INFO: 2023-09-14 10:09:40,506 | FILE: main.py:72 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 10:09:40,506 | FILE: main.py:86 | MESSAGE: Order created with 0 on BTC at 2023-09-14 10:09:40.506146
INFO: 2023-09-14 10:09:41,568 | FILE: main.py:72 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 10:09:41,568 | FILE: main.py:86 | MESSAGE: Order created with 0 on ETH at 2023-09-14 10:09:41.568373
INFO: 2023-09-14 10:09:42,615 | FILE: main.py:72 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 10:09:42,615 | FILE: main.py:86 | MESSAGE: Order created with 3 on DOT at 2023-09-14 10:09:42.615551
INFO: 2023-09-14 10:09:43,828 | FILE: main.py:72 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 10:09:43,828 | FILE: main.py:86 | MESSAGE: Order created with 0 on SOL at 2023-09-14 10:09:43.828767
INFO: 2023-09-14 10:09:45,156 | FILE: main.py:72 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 10:09:45,157 | FILE: main.py:86 | MESSAGE: Order created with 125 on XLM at 2023-09-14 10:09:45.157915
INFO: 2023-09-14 10:09:45,160 | FILE: main.py:90 | MESSAGE: DCA complete, bought ['BTC', 'ETH', 'DOT', 'SOL', 'XLM']. Waiting 7 days.
ERROR: 2023-09-14 10:09:48,989 | FILE: email_service.py:25 | MESSAGE: (535, b'5.7.8 Username and Password not accepted. Learn more at\n5.7.8  https://support.google.com/mail/?p=BadCredentials q4-20020a170902dac400b001b8b07bc600sm466045plx.186 - gsmtp')
INFO: 2023-09-14 10:10:12,516 | FILE: main.py:106 | MESSAGE: working...
INFO: 2023-09-14 10:12:28,760 | FILE: main.py:113 | MESSAGE: working...
INFO: 2023-09-14 10:12:48,497 | FILE: main.py:113 | MESSAGE: working...
INFO: 2023-09-14 10:13:37,510 | FILE: main.py:113 | MESSAGE: working...
